Name,UserRating,Holds,Grade
LOCK OF,0,E4 H3 F10 A12 B16 B17 F18,9
れおへ2,2,D3 I4 G8 E11 D13 G15 C17 B10 H18,7
MINCEMEAT,2,A5 F5 E7 I8 H10 J13 J16 G14 J18,2
MEMORIES ARE SWEET,0,I2 E3 A3 A8 C8 G6 F11 E12 F15 F16 C15 K18,7
HALO 234,3,E4 G5 D7 D10 F9 F12 D14 E16 C18 D18,4
LEMON PICKING,0,H4 G1 D9 B11 F11 K12 F16 G18,12
HALO,2,D4 E3 F6 E7 F8 F9 E10 E13 E16 E18 B18,2
れおへ,0,E5 F3 D8 I10 G12 G16 J14 I18,7
GRIP 01,3,F5 F4 D9 C13 C16 J11 H18,6
PUMPITUPJUMPITUP,2,B3 F5 D10 G13 C16 F18,2
DOWNBEAT!,0,F6 D3 G7 B10 C12 G14 D17 J18 A18,10
TRIUMPH,0,F5 I7 H10 D10 F18 H18,9
DALE,2,D5 F5 F8 D10 C13 G13 E16 D18,2
JOJO,2,H3 H6 G8 G13 B10 F18,7
2CUT,2,A5 E3 A3 B10 B15 E14 G13 G8 C18,7
SOOOOOOOOOO EASY,2,C2 A13 K18,4
DARK SIDE OF THE BOARD,2,K5 H4 G6 J8 H10 K13 H15 J18,4
RUF UF DIE MUDDI,2,D4 H3 I8 H10 F13 B14 D18,5
355,0,G6 I5 E5 H3 J2 K10 F12 F13 D16 F18,4
FOR THE BIRDS,2,E4 H5 F8 D10 G13 D15 F18,2
RED ZAG,0,A6 D8 F9 E10 G11 I13 F15 E16 B18,6
CUELING DOWN,2,H5 D5 I8 H10 G13 C16 B18,2
LILY THE PANDA,2,F5 E6 F8 D10 E13 C16 E18 B18,2
FEZZI NO CABE,2,B5 F2 G8 E9 G13 H18,5
JDL6,3,B4 D5 B6 E8 A11 A16 E14 D18,4
HEEL TAP,2,D4 H5 J4 I8 D9 G13 E16 C16 D18,3
RS,2,C4 C5 F6 H8 E10 E14 A12 H17 J18,0
CRIMPERZ,3,C4 F5 F8 H9 F12 H14 G16 H18,2
YEEEHAW,2,E4 H5 F8 J9 I15 E13 H18,2
JUT'S LOVELY CRIMPMAS,2,A6 E6 D10 H9 F13 D16 E18,3
1.DJC 2019 FINALS M3 SIM.,2,E6 D2 C9 E11 E14 H16 G18,8
TEMP,0,H1 F5 H8 E13 C14 A11 E18,2
BAD*SS CRIMPS,2,B5 B6 F7 H9 I9 K13 G16 J2 K18,8
MRS STRETCH,2,E4 H5 F8 H10 G13 E13 H18,2
FLAGPOLE,2,C4 E6 D9 G11 F14 C13 D17 F18,2
FIRST CLIMB EASY,3,H5 F5 F8 I7 H10 F12 G13 E13 C16 D2 B18,2
WARM-UP?,2,F5 E7 D9 F12 E15 E17 C18,2
CRUX,2,A5 F7 D11 H14 H17 K18,7
THE TAPER,2,H5 F5 E3 F8 H8 H10 F12 E13 C16 C8 D18,2
DIRECT SHOT,3,J4 K2 I8 F12 D15 B18,3
THE KRAKEN SHRIEKS ONCE,3,E4 F5 I6 F8 F12 F15 F18,4
JUGGAJUG,2,F5 D4 G3 F8 G10 D10 E13 C16 F18,2
BEAST OF MANY HEARTS,3,E4 F5 F8 H8 I6 F12 F15 F18,4
SCHOORSTEEN,3,D4 H4 F8 F10 F12 F15 F18,3
PATS BURNING BUM,3,D4 I4 F7 D10 A8 B16 F14 B18,4
ROETPIET,0,H5 D4 C8 B8 C13 H10 F18,2
NICK WATCHED ME FLASH,0,D5 H4 J2 F8 I10 D11 E14 A16 D18,4
JUT'S NO JUG PROJECT,3,G6 K5 K9 H9 G10 D11 C13 F13 D16 H16 D18 G18,4
TALL GUY’S ONLY,0,D5 F5 F10 K11 G14 E16 C13 G18,2
BALU ESFREGA LHE O CU,2,K5 H6 H9 I12 F14 F16 D18,4
WEAKASHELL,2,F5 A5 E8 E11 A11 C13 G13 K15 H18,0
EMAN,0,K2 H6 K9 G12 K15 H18,6
